date,neg_count,total
2020-01-08,0,3
2020-01-09,1,9
2020-01-10,0,4
2020-01-11,0,7
2020-01-12,0,3
2020-01-13,0,2
2020-01-17,1,15
2020-01-18,2,7
2020-01-19,0,2
2020-01-20,3,53
2020-01-21,3,52
2020-01-22,10,174
2020-01-23,32,267
2020-01-24,41,362
2020-01-25,46,330
2020-01-26,40,347
2020-01-27,2735,19313
2020-01-28,8534,62329
2020-01-29,7612,66910
2020-01-30,8353,68275
2020-01-31,7384,64509
2020-02-01,5327,47952
2020-02-02,5939,54090
2020-02-03,5080,52387
2020-02-04,6361,48325
2020-02-05,4678,40881
2020-02-06,7250,46960
2020-02-07,8234,49923
2020-02-08,1209,8625
2020-02-09,34,279
2020-02-10,2586,21889
2020-02-11,4397,37434
2020-02-12,3754,32562
2020-02-13,4077,38859
2020-02-14,3345,33395
2020-02-15,3358,27525
2020-02-16,4082,26505
2020-02-17,4170,30715
2020-02-18,4117,32950
2020-02-19,3108,26427
2020-02-20,2730,24494
2020-02-21,2792,28731
2020-02-22,3059,22095
2020-02-23,3681,22588
2020-02-24,4060,33672
2020-02-25,3640,27635
2020-02-26,2872,23452
2020-02-27,3205,26468
2020-02-28,2634,21227
2020-02-29,2511,20381
2020-03-01,1459,12907
2020-03-02,1870,16237
2020-03-03,1376,12894
2020-03-04,1797,16227
2020-03-05,2602,19782
2020-03-06,3246,21803
2020-03-07,1949,11340
2020-03-08,2928,19638
2020-03-09,10004,28053
2020-03-10,6120,22745
2020-03-11,4286,17001
2020-03-12,4149,13905
2020-03-13,6120,20209
2020-03-14,4664,17351
2020-03-15,4633,16992
2020-03-16,4519,17652
2020-03-17,13015,28528
2020-03-18,13486,31335
2020-03-19,13158,34578
2020-03-20,9031,25448
2020-03-21,8079,23971
2020-03-22,7858,23558
2020-03-23,6991,21108
2020-03-24,6759,22820
2020-03-25,7423,24056
2020-03-26,11347,31689
2020-03-27,10713,34702
2020-03-28,6149,21488
2020-03-29,6888,25487
2020-03-30,6041,22009
2020-03-31,5516,21031
2020-04-01,7463,25672
2020-04-02,6418,21901
2020-04-03,5691,20848
2020-04-04,6216,22803
2020-04-05,6396,22540
2020-04-06,5496,20190
2020-04-07,6567,23585
2020-04-08,6848,27342
2020-04-09,5534,22232
2020-04-10,6329,24266
2020-04-11,6564,22315
2020-04-12,8758,27640
2020-04-13,8887,31356
2020-04-14,7495,27245
2020-04-15,9192,30598
2020-04-16,10831,33759
2020-04-17,8845,28185
2020-04-18,6859,22612
2020-04-19,9520,31669
2020-04-20,7003,26916
2020-04-21,6059,23217
2020-04-22,6780,26173
2020-04-23,5317,23056
2020-04-24,4527,18736
