date,id,coordinates,full_text,sentiment,hashtags,,,,,
2020-01-29,1.22255E+18,,Hong Kong partially closes border with Mainland China as virus deaths mount,0,[],,,,,
2020-02-17,1.22944E+18,,How China Targets Muslims for 'Re-Education' Camps — and Spies on Their ...,-1,[],,,,,
2020-01-22,1219890390502793216,,"Researchers the China CDC conducted an ambitious study into soil-transmitted helminths (STHs) in 30 provinces, confirming that STH transmission rates are low, elimination of STH-transferred conditions such as hookworm, ascaris lumbricoides &amp; trichuris trichiura is achievable",0,[],,,,,
2020-01-22,1219941561850650624,,Coronavirus comes to American airports. Hear the details at 6:18 am EST on and lookup WERUradio on iHeart radio.#coronavirus #china #airport #cdc #weruradio #weareumorningcrew #atlantaradio #hiphop #soulfulhousemusic #rnb,0,"['coronavirus', 'china', 'airport', 'cdc', 'weruradio', 'weareumorningcrew', 'atlantaradio', 'hiphop', 'soulfulhousemusic', 'rnb']",,,,,
2020-01-22,1220054705931337728,,Airlines should offer medical facemasks &amp; hand sanitizer every gate every airport to combat the spread of #disease like #influenza &amp; #coronoavirus #CDC,0,"['disease', 'influenza', 'coronoavirus', 'CDC']",,,,,
2020-01-22,1220064107610755079,,"BREAKING: Wuhan Airport &amp; public transport to close from Thursday due to the spread of the #WuhanCoronavirus outbreak. Cases already confirmed in Thailand, South Korea, Japan, USA &amp; Taiwan. Official death toll is currently 17. #coronavirus #WuhanOutbreak",0,"['WuhanCoronavirus', 'coronavirus', 'WuhanOutbreak']",,,,3935,
2020-01-23,1220143150317981696,,Public transportation system is SHUT DOWN in #Wuhan. People are advised NOT to leave the city. It is getting VERY serious no matter what news has been making people believe. #WuhanCoronavirus,0,"['Wuhan', 'WuhanCoronavirus']",,,,1064,
2020-01-23,1220178383142825989,,"It’s true - the year prior to roe v wade 39 women died from illegal abortion. more people are killed by deer. those numbers come straight from the CDC, feel free to check them out yourself.",0,[],,,,,0.2703939009
2020-01-23,1220180361616867328,,The Chinese said he took some medicine after fever. And left from #Wuhan to #Shanghai .Going to #Disney soon. Good luck Shanghai ! #WuhanCoronavirus #China,0,"['Wuhan', 'Shanghai', 'Disney', 'WuhanCoronavirus', 'China']",,,,,
2020-01-23,1220292088312389632,,China shuts city of millions to stop spread of deadly virus #ncov,0,['ncov'],,,,,
2020-01-23,1220314562534301696,,China’s Heath Officers started research about #coronavirus in #Wuhan,0,"['coronavirus', 'Wuhan']",,,,,
2020-01-23,1220330064933351424,,"#China is always a #trouble maker with #evil thoughts. In 2002, China made #SARSvirus . Now, #China made #WuhanCoronavirus . #coronavirus #WuhanPneumonia #WuhanSARS #ChinaPneumonia #chinazi #China_is_terrorist #ChinaCoronaVirus #coronovirus #Wuhan #WHO",-1,"['China', 'trouble', 'evil', 'SARSvirus', 'China', 'WuhanCoronavirus', 'coronavirus', 'WuhanPneumonia', 'WuhanSARS', 'ChinaPneumonia', 'chinazi', 'China_is_terrorist', 'ChinaCoronaVirus', 'coronovirus', 'Wuhan', 'WHO']",,,,,
2020-01-23,1220335980227395590,,"Don’t trust #CCP. They are hiding the actual numbers of patients who is suffering from the wuhan coronavirus. Without proper methods of chasing the origin of virus &amp; its formation, it’s hard to prevent the mass inflection. #武漢肺炎 #新型肺炎",-1,"['CCP', '武漢肺炎', '新型肺炎']",,,,,
2020-01-23,1220339718115799040,,"‘This time I’m scared’: SARS virologist warns #WuhanCoronavirus far worse, as China locks down second city",0,['WuhanCoronavirus'],,,,,
2020-01-23,1220352323156946944,,Epidemic response group says starts work on three possible China virus vaccines,-1,[],,,,,
2020-01-23,1220355134946865157,,"Epidemic, Level 4, Outbreak of SARS-like virus in central China - Hubei Province, China [update 15] Global Monitoring App:",0,[],,,,,
2020-01-23,1220363082276524032,,it all started with the plague inc #coronovirus #Wuhan,0,"['coronovirus', 'Wuhan']",,,,,
2020-01-23,1220366657757024257,,"They do NOT shot down a whole city, Wuhan 11 million people! Because of 17 death!? Something isn`t right here!!!",-1,[],,,,,
2020-01-23,1220380053470695425,,A number of people in Scotland are being tested for coronavirus. Samples had been taken from 3 people who recently travelled from Wuhan to Scotland. It's thought none is in a serious condition. At least one is a student. There is also believed to be a 4th patient in Glasgow.,0,[],,,,,
2020-01-23,1220381277976530944,,Reuters: China’s finance ministry says it is allocating 1 billion yuan ($144 mln) in funding to Hubei province to assist ongoing efforts to contain the outbreak of a new coronavirus that has infected more than 600 people in the country.,0,[],,,,,
2020-01-23,1220383885478879233,,Macau confirms second patient infected with Wuhan virus #coronavirus,-1,['coronavirus'],,,,,
2020-01-23,1220396517489553409,,"Wuhan, China under quarantine. I like where this is going.",-1,[],,,,,
2020-01-23,1220402432565563392,,"The virus implicated in an outbreak of pneumonia in Wuhan, China, is a coronavirus—a growing player in global infectious disease epidemics via",0,[],,,,,
2020-01-23,1220403610116227072,,It is truly awful to know that the Chinese govt tried to suppress what was happening with this outbreak. So many people are sick.,-1,[],,,,,
2020-01-23,1220408366469545984,,‘Cover Up’? Reports Indicate Chinese Government Not Telling Truth About Coronavirus Outbreak,-1,[],,,,,
2020-01-23,1220408894155120641,,"Such a storyteller,!!! Did the protestors go wuhan? Insane !",0,[],,,,,
2020-01-23,1220424022955085827,,"CORONAVIRUS: HERE ARE ALL YOU NEED TO KNOW In recent news, at least 17 people have died from a new coronavirus in China, all in Hubei Province, following an outbreak in the central city of Wuhan, and more than 550 cases have been reported globally.",0,[],,,,,
2020-01-23,1220437780653801472,,"#CoronavirusOutbreak: Work has reportedly begun on a hospital being built in 6 days in #Wuhan, #China to deal with comfirmed cases of #coronavirus.",0,"['CoronavirusOutbreak', 'Wuhan', 'China', 'coronavirus']",,,,,
2020-01-23,1220450998948454407,,Outbreaks of lethal diseases like Ebola and the Wuhan coronavirus happen regularly and more often. The US government just cut funding for the hospitals that deal with them - Bulletin of the Atomic Scientists via,0,[],,,,,
2020-01-23,1220460530684649484,,"It's too early to declare China coronavirus outbreak an 'emergency,' WHO says",0,[],,,,,
2020-01-23,1220468786421288962,,Four more cases of Wuhan coronavirus confirmed in Beijing,0,[],,,,,
2020-01-23,1220486811413172224,,"THIS would NOT have happened under President Obama! President Obama did HIS JOB as President. Obama didn’t spend his time Golfing, Tweeting or Ranting at Rabid Trump Campaign Rallies like Trump’s been doing instead making sure Americans were protected from the China Flu epidemic!",0,[],,,,,
2020-01-23,1220487166117191687,,Medical team supposedly infected in #Wuhan One or two physicians fall down due to #Coronavirus spreading into the hospital ( Unchecked),0,"['Wuhan', 'Coronavirus']",,,,,
2020-01-23,1220494858156068864,,"Coronavirus latest: Quarantine in China expands beyond ... 4 hours ago ... Beijing and Wuhan have banned large public gatherings, and an area of central China that is home to 20 million people is now under a travel ...",0,[],,,,,
2020-01-24,1220502915787317248,,Xi's Chinese dream is everyone else's nightmare: ask people in Hong Kong and Wuhan.,0,[],,,,,
2020-01-24,1220504012086104064,,"Coronavirus outbreak shuts 3 Chinese cities down, disrupts busy travel season",0,[],,,,,
